Hour,Speed,Direction
176,11.486666666666666,166.47416666666666
177,11.1225,164.32000000000002
178,10.366666666666667,166.53166666666667
179,9.2625,166.39416666666668
180,8.849166666666667,171.92
181,8.5775,175.6825
182,8.243333333333334,184.35333333333327
183,7.803333333333334,188.01833333333332
184,6.3375,195.90916666666664
185,5.179166666666666,196.73
186,5.153333333333333,199.01
187,5.191666666666667,214.32666666666668
188,4.510833333333333,244.07416666666668
189,11.345833333333331,235.51666666666668
190,11.634166666666667,15.435833333333331
191,10.820833333333333,16.780833333333334
192,10.696666666666664,24.160833333333333
193,10.145,27.116666666666664
194,9.961666666666666,25.89583333333333
195,9.936666666666666,27.534166666666668
196,9.324166666666668,34.01
197,9.663333333333334,37.3225
198,9.736666666666666,40.08083333333333
199,9.255833333333332,44.94166666666666
